# Instrument-source: 'H3-2_NeRo.instr'
# Date: Fri Aug 30 20 12 2019
# Ncount: 1000000
# Numpoints: 2
# Param: m_out = 1
# type: multiarray_1d(2)
# title: Scan of m_out
# xlabel: 'm_out'
# ylabel: 'Intensity'
# xvars: m_out
# yvars: (Monlam_I,Monlam_ERR) (Monx_I,Monx_ERR) (Mony_I,Mony_ERR) (Mondx_I,Mondx_ERR) (Mondy_I,Mondy_ERR)
# xlimits: 1 6
# filename: mccode.dat
# variables: m_out Monlam_I Monlam_ERR Monx_I Monx_ERR Mony_I Mony_ERR Mondx_I Mondx_ERR Mondy_I Mondy_ERR
1 2.28836E+6 57032.6 2.28836E+6 57032.6 2.28836E+6 57032.6 2.28836E+6 57032.6 2.28836E+6 57032.6
1.5 7.16154E+6 96558.8 7.16154E+6 96558.8 7.16154E+6 96558.8 7.16154E+6 96558.8 7.16154E+6 96558.8
2 1.80984E+7 153124 1.80984E+7 153124 1.80984E+7 153124 1.80984E+7 153124 1.80984E+7 153124
2.5 3.18648E+7 205390 3.18648E+7 205390 3.18648E+7 205390 3.18648E+7 205390 3.18648E+7 205390
3 3.74376E+7 220325 3.74376E+7 220325 3.74376E+7 220325 3.74376E+7 220325 3.74376E+7 220325
3.5 3.81405E+7 222072 3.81405E+7 222072 3.81405E+7 222072 3.81405E+7 222072 3.81405E+7 222072
4 3.73986E+7 219904 3.73986E+7 219904 3.73986E+7 219904 3.73986E+7 219904 3.73986E+7 219904
4.5 3.73769E+7 219822 3.73769E+7 219822 3.73769E+7 219822 3.73769E+7 219822 3.73769E+7 219822
5 3.77972E+7 221168 3.77972E+7 221168 3.77972E+7 221168 3.77972E+7 221168 3.77972E+7 221168
5.5 3.78975E+7 221370 3.78975E+7 221370 3.78975E+7 221370 3.78975E+7 221370 3.78975E+7 221370
6 3.79017E+7 221267 3.79017E+7 221267 3.79017E+7 221267 3.79017E+7 221267 3.79017E+7 221267
