# Instrument-source: 'H3-3A_CLEO.instr'
# Date: Fri Aug 30 17 12 2019
# Ncount: 1000000
# Numpoints: 2
# Param: R_curv = 500
# type: multiarray_1d(2)
# title: Scan of R_curv
# xlabel: 'R_curv'
# ylabel: 'Intensity'
# xvars: R_curv
# yvars: (Monlam_I,Monlam_ERR) (Monx_I,Monx_ERR) (Mony_I,Mony_ERR) (Mondx_I,Mondx_ERR) (Mondy_I,Mondy_ERR)
# xlimits: 2000 500
# filename: mccode.dat
# variables: R_curv Monlam_I Monlam_ERR Monx_I Monx_ERR Mony_I Mony_ERR Mondx_I Mondx_ERR Mondy_I Mondy_ERR
500 8.61867E+6 112744 8.61867E+6 112744 8.61867E+6 112744 8.61867E+6 112744 8.61867E+6 112744
600 1.15297E+7 132466 1.15297E+7 132466 1.15297E+7 132466 1.15297E+7 132466 1.15297E+7 132466
700 1.36592E+7 146947 1.36592E+7 146947 1.36592E+7 146947 1.36592E+7 146947 1.36592E+7 146947
800 1.60882E+7 160369 1.60882E+7 160369 1.60882E+7 160369 1.60882E+7 160369 1.60882E+7 160369
900 1.84668E+7 172926 1.84668E+7 172926 1.84668E+7 172926 1.84668E+7 172926 1.84668E+7 172926
1000 2.14683E+7 188441 2.14683E+7 188441 2.14683E+7 188441 2.14683E+7 188441 2.14683E+7 188441
1100 2.47895E+7 204134 2.47895E+7 204134 2.47895E+7 204134 2.47895E+7 204134 2.47895E+7 204134
1200 2.71044E+7 216199 2.71044E+7 216199 2.71044E+7 216199 2.71044E+7 216199 2.71044E+7 216199
1300 2.9232E+7 226383 2.9232E+7 226383 2.9232E+7 226383 2.9232E+7 226383 2.9232E+7 226383
1400 3.0193E+7 232274 3.0193E+7 232274 3.0193E+7 232274 3.0193E+7 232274 3.0193E+7 232274
1500 3.03284E+7 233721 3.03284E+7 233721 3.03284E+7 233721 3.03284E+7 233721 3.03284E+7 233721
1600 3.09851E+7 237724 3.09851E+7 237724 3.09851E+7 237724 3.09851E+7 237724 3.09851E+7 237724
1700 3.09694E+7 238032 3.09694E+7 238032 3.09694E+7 238032 3.09694E+7 238032 3.09694E+7 238032
1800 3.13641E+7 239315 3.13641E+7 239315 3.13641E+7 239315 3.13641E+7 239315 3.13641E+7 239315
1900 3.17495E+7 241328 3.17495E+7 241328 3.17495E+7 241328 3.17495E+7 241328 3.17495E+7 241328
2000 3.17537E+7 241654 3.17537E+7 241654 3.17537E+7 241654 3.17537E+7 241654 3.17537E+7 241654
