# Instrument-source: 'H3-4B_LIRA.instr'
# Date: Fri Aug 30 23 13 2019
# Ncount: 1000000
# Numpoints: 2
# Param: R_curv = 500
# type: multiarray_1d(2)
# title: Scan of R_curv
# xlabel: 'R_curv'
# ylabel: 'Intensity'
# xvars: R_curv
# yvars: (Monlam_I,Monlam_ERR) (Monx_I,Monx_ERR) (Mony_I,Mony_ERR) (Mondx_I,Mondx_ERR) (Mondy_I,Mondy_ERR)
# xlimits: 2000 500
# filename: mccode.dat
# variables: R_curv Monlam_I Monlam_ERR Monx_I Monx_ERR Mony_I Mony_ERR Mondx_I Mondx_ERR Mondy_I Mondy_ERR
500 7.21132E+6 107635 7.21132E+6 107635 7.21132E+6 107635 7.21132E+6 107635 7.21132E+6 107635
600 1.50012E+7 171145 1.50012E+7 171145 1.50012E+7 171145 1.50012E+7 171145 1.50012E+7 171145
700 1.93227E+7 206020 1.93227E+7 206020 1.93227E+7 206020 1.93227E+7 206020 1.93227E+7 206020
800 2.06771E+7 217670 2.06771E+7 217670 2.06771E+7 217670 2.06771E+7 217670 2.06771E+7 217670
900 2.29444E+7 232164 2.29444E+7 232164 2.29444E+7 232164 2.29444E+7 232164 2.29444E+7 232164
1000 2.34276E+7 237988 2.34276E+7 237988 2.34276E+7 237988 2.34276E+7 237988 2.34276E+7 237988
1100 2.45759E+7 246200 2.45759E+7 246200 2.45759E+7 246200 2.45759E+7 246200 2.45759E+7 246200
1200 2.56107E+7 253813 2.56107E+7 253813 2.56107E+7 253813 2.56107E+7 253813 2.56107E+7 253813
1300 2.60868E+7 258509 2.60868E+7 258509 2.60868E+7 258509 2.60868E+7 258509 2.60868E+7 258509
1400 2.71277E+7 265100 2.71277E+7 265100 2.71277E+7 265100 2.71277E+7 265100 2.71277E+7 265100
1500 2.72854E+7 267314 2.72854E+7 267314 2.72854E+7 267314 2.72854E+7 267314 2.72854E+7 267314
1600 2.79371E+7 271404 2.79371E+7 271404 2.79371E+7 271404 2.79371E+7 271404 2.79371E+7 271404
1700 2.79878E+7 272855 2.79878E+7 272855 2.79878E+7 272855 2.79878E+7 272855 2.79878E+7 272855
1800 2.79621E+7 274329 2.79621E+7 274329 2.79621E+7 274329 2.79621E+7 274329 2.79621E+7 274329
1900 2.84723E+7 277706 2.84723E+7 277706 2.84723E+7 277706 2.84723E+7 277706 2.84723E+7 277706
2000 2.84226E+7 277298 2.84226E+7 277298 2.84226E+7 277298 2.84226E+7 277298 2.84226E+7 277298
